pay_date,code,total_amount,employees_paid,overtime_hours
2026-06-19,ANNLV,1500.22,5,
2026-06-19,CASLOAD,2002.74,3,
2026-06-19,DIRFEE,900.00,2,
2026-06-19,EVEPEN,578.74,4,
2026-06-19,FIRSTAID,28.00,1,
2026-06-19,LAUNDRYALLOW,16.33,5,
2026-06-19,LOYALTYBON,180.00,7,
2026-06-19,LSLINHOUSE,2958.75,1,
2026-06-19,ONCALLAH,73.89,5,
2026-06-19,ORDHRS,10312.53,2,
2026-06-19,PHNOTWORKED,404.46,5,
2026-06-19,RDOTERM,352.92,6,
2026-06-19,SATPEN,767.31,7,
2026-06-19,SICKLV,658.13,7,
2026-06-19,STUDYLEAVE,348.52,8,
2026-06-19,SUNPEN,785.50,2,
2026-07-03,ALCASHOUT,647.87,4,
2026-07-03,ALLOADING,127.30,8,
2026-07-03,ANNLV,941.51,5,
2026-07-03,BROKENSHIFT,143.46,4,
2026-07-03,CASLOAD,1923.04,3,
2026-07-03,DIRFEE,900.00,5,
2026-07-03,EVEPEN,765.13,6,
2026-07-03,FIRSTAID,28.00,7,
2026-07-03,FOODHANDLER,50.70,7,
2026-07-03,KNIFEALLOW,18.00,3,
2026-07-03,LAUNDRYALLOW,14.17,7,
2026-07-03,LOYALTYBON,180.00,3,
2026-07-03,ORDHRS,10928.60,4,
2026-07-03,PPLEMPLOYER,1456.95,6,
2026-07-03,RDOCASHOUT,201.60,2,
2026-07-03,SATPEN,882.21,2,
2026-07-03,SICKLV,725.28,7,
2026-07-03,SUNPEN,966.19,5,
2026-07-03,UNIFORMALLOW,150.00,8,
2026-07-17,ALLOADING,253.26,4,
2026-07-17,ANNLV,1508.27,5,
2026-07-17,BROKENSHIFT,112.68,7,
2026-07-17,CASLOAD,1790.48,6,
2026-07-17,DIRFEE,900.00,8,
2026-07-17,EVEPEN,769.38,3,
2026-07-17,FIRSTAID,28.00,4,
2026-07-17,FOODHANDLER,37.69,5,
2026-07-17,KNIFEALLOW,18.00,6,
2026-07-17,LAUNDRYALLOW,16.92,5,
2026-07-17,LOYALTYBON,180.00,1,
2026-07-17,MEALALLOWOT,21.02,2,9.5
2026-07-17,ORDHRS,10482.06,2,
2026-07-17,OT20,188.39,7,6.4
2026-07-17,PHPEN,755.54,3,
2026-07-17,PPLEMPLOYER,1389.59,1,
2026-07-17,SATPEN,670.02,6,
2026-07-17,SICKLV,570.14,8,
2026-07-17,SPECIALLEAVE,359.33,8,
2026-07-17,STAFFMEAL,16.58,6,
2026-07-17,SUNPEN,843.08,5,
2026-07-17,UNIFORMALLOW,150.00,4,
2026-07-31,ALLOADING,259.65,2,
2026-07-31,ANNLV,1529.58,3,
2026-07-31,BROKENSHIFT,118.46,2,
2026-07-31,CASLOAD,1554.34,7,
2026-07-31,DIRFEE,900.00,4,
2026-07-31,EVEPEN,457.93,5,
2026-07-31,FDVLEAVE,353.88,6,
2026-07-31,FIRSTAID,28.00,3,
2026-07-31,FOODHANDLER,46.76,6,
2026-07-31,KNIFEALLOW,18.00,1,
2026-07-31,LAUNDRYALLOW,19.86,4,
2026-07-31,LOYALTYBON,180.00,2,
2026-07-31,LSLTERM,2678.56,5,
2026-07-31,MEALALLOWOT,25.48,4,19.4
2026-07-31,ORDHRS,11014.78,3,
2026-07-31,OT15,505.57,8,6.9
2026-07-31,OT20,147.36,3,19.1
2026-07-31,PILN,2056.90,7,
2026-07-31,PPLEMPLOYER,1645.93,5,
2026-07-31,SATPEN,672.25,5,
2026-07-31,SICKLV,545.51,8,
2026-07-31,STAFFMEAL,20.69,4,
2026-07-31,SUNPEN,1112.86,7,
2026-07-31,TOILCASHOUT,341.71,5,
2026-07-31,UNIFORMALLOW,150.00,5,
2026-07-31,WCOMPNOTWORK,805.68,8,
2026-08-14,ALLOADING,156.95,7,
2026-08-14,ANNLV,1430.60,8,
2026-08-14,BROKENSHIFT,74.70,3,
2026-08-14,CASLOAD,1878.25,4,
2026-08-14,DIRFEE,900.00,5,
2026-08-14,EVEPEN,452.84,3,
2026-08-14,FIRSTAID,28.00,2,
2026-08-14,FOODHANDLER,46.02,1,
2026-08-14,KNIFEALLOW,18.00,8,
2026-08-14,LAUNDRYALLOW,18.92,6,
2026-08-14,LOYALTYBON,180.00,4,
2026-08-14,ORDHRS,11328.94,5,
2026-08-14,OT15,384.53,5,7.7
2026-08-14,OT20,193.01,3,12.7
2026-08-14,REFERRALBONUS,281.32,3,
2026-08-14,SATPEN,768.03,5,
2026-08-14,SICKLV,528.62,5,
2026-08-14,STAFFMEAL,23.89,5,
2026-08-14,SUNPEN,829.41,2,
2026-08-28,ALLOADING,169.93,1,
2026-08-28,ANNLV,1159.20,8,
2026-08-28,BROKENSHIFT,86.70,2,
2026-08-28,CASLOAD,1830.23,1,
2026-08-28,DIRFEE,900.00,8,
2026-08-28,EVEPEN,725.10,7,
2026-08-28,FIRSTAID,28.00,8,
2026-08-28,FOODHANDLER,39.38,5,
2026-08-28,KNIFEALLOW,18.00,2,
2026-08-28,LAUNDRYALLOW,15.01,5,
2026-08-28,LOYALTYBON,180.00,7,
2026-08-28,ORDHRS,11091.44,6,
2026-08-28,OT15,260.43,4,18.3
2026-08-28,REDUNDANCY,5964.85,5,
2026-08-28,REFERRALBONUS,168.71,8,
2026-08-28,SATPEN,1032.19,3,
2026-08-28,STAFFMEAL,16.30,3,
2026-08-28,SUNPEN,989.92,2,
2026-09-11,ALTERM,1462.87,1,
2026-09-11,CASLOAD,1876.66,8,
2026-09-11,DIRFEE,900.00,7,
2026-09-11,FIRSTAID,28.00,7,
2026-09-11,FOODHANDLER,35.77,1,
2026-09-11,KNIFEALLOW,18.00,4,
2026-09-11,LAUNDRYALLOW,15.65,6,
2026-09-11,LOYALTYBON,180.00,2,
2026-09-11,ORDHRS,10549.19,8,
2026-09-11,OT15,328.24,6,13.9
2026-09-11,SATPEN,884.33,8,
2026-09-11,STAFFMEAL,21.58,4,
2026-09-11,SUNPEN,1105.04,6,
2026-09-11,WCOMPWORKED,759.41,7,
