pay_date,code,total_amount,employees_paid,overtime_hours
2026-06-19,FIRSTAID,28.00,1,
2026-06-19,LAUNDRYALLOW,16.33,5,
2026-06-19,LOYALTYBON,180.00,7,
2026-06-19,ORDHRS,10312.53,2,
2026-07-03,FIRSTAID,28.00,7,
2026-07-03,LAUNDRYALLOW,14.17,7,
2026-07-03,LOYALTYBON,180.00,3,
2026-07-03,ORDHRS,10928.60,4,
2026-07-17,FIRSTAID,28.00,4,
2026-07-17,LAUNDRYALLOW,16.92,5,
2026-07-17,LOYALTYBON,180.00,1,
2026-07-17,ORDHRS,10482.06,2,
2026-07-31,FIRSTAID,28.00,3,
2026-07-31,LAUNDRYALLOW,19.86,4,
2026-07-31,LOYALTYBON,180.00,2,
2026-07-31,ORDHRS,11014.78,3,
2026-07-31,OT15,505.57,8,6.9
2026-08-14,FIRSTAID,28.00,2,
2026-08-14,LAUNDRYALLOW,18.92,6,
2026-08-14,LOYALTYBON,180.00,4,
2026-08-14,ORDHRS,11328.94,5,
2026-08-14,OT15,384.53,5,7.7
2026-08-28,FIRSTAID,28.00,8,
2026-08-28,LAUNDRYALLOW,15.01,5,
2026-08-28,LOYALTYBON,180.00,7,
2026-08-28,ORDHRS,11091.44,6,
2026-08-28,OT15,260.43,4,18.3
2026-09-11,FIRSTAID,28.00,7,
2026-09-11,LAUNDRYALLOW,15.65,6,
2026-09-11,LOYALTYBON,180.00,2,
2026-09-11,ORDHRS,10549.19,8,
2026-09-11,OT15,328.24,6,13.9
