pay_date,code,total_amount,employees_paid,overtime_hours
2026-06-19,ALLOADING,357.26,12,
2026-06-19,APPRENTICEALLOW,20.00,14,
2026-06-19,DIRFEE,1400.00,5,
2026-06-19,FDVLEAVE,366.40,14,
2026-06-19,FIRSTAID,25.00,14,
2026-06-19,HEIGHTSALLOW,89.34,15,
2026-06-19,LEADHANDALLOW,144.82,2,
2026-06-19,ORDHRS,32715.08,5,
2026-06-19,OT15,1040.90,10,18.3
2026-06-19,RDOACCRUAL,2448.84,15,
2026-06-19,REFERRALBONUS,201.81,5,
2026-06-19,SATPEN,2364.17,6,
2026-06-19,SUNPEN,1237.09,11,
2026-06-19,SUPERVISORALLOW,155.20,9,
2026-06-19,TOOLALLOWFLAT,32.00,5,
2026-06-19,TRAVELALLOW,55.00,13,
2026-07-03,ALLOADING,304.48,13,
2026-07-03,APPRENTICEALLOW,20.00,3,
2026-07-03,CONFINEDALLOW,146.98,2,
2026-07-03,DIRFEE,1400.00,5,
2026-07-03,FIRSTAID,25.00,11,
2026-07-03,HEIGHTSALLOW,74.05,7,
2026-07-03,LEADHANDALLOW,163.59,2,
2026-07-03,ORDHRS,34030.64,11,
2026-07-03,OT15,1098.18,6,9.7
2026-07-03,PRODUCTIVITYBON,186.06,6,12.7
2026-07-03,RDOACCRUAL,2933.84,12,
2026-07-03,REFERRALBONUS,239.74,3,
2026-07-03,SATPEN,1991.43,2,
2026-07-03,STUDYLEAVE,192.84,2,
2026-07-03,SUNPEN,1653.55,3,
2026-07-03,SUPERVISORALLOW,171.21,13,
2026-07-03,TOOLALLOWFLAT,32.00,5,
2026-07-03,TRAVELALLOW,55.00,13,
2026-07-03,WETWEATHER,583.38,7,
2026-07-17,ALLOADING,487.41,2,
2026-07-17,ANNLV,2320.60,3,
2026-07-17,APPRENTICEALLOW,20.00,6,
2026-07-17,CONFINEDALLOW,115.37,10,
2026-07-17,DIRFEE,1400.00,7,
2026-07-17,FIRSTAID,25.00,12,
2026-07-17,HEIGHTSALLOW,102.19,7,
2026-07-17,LEADHANDALLOW,116.12,8,
2026-07-17,ORDHRS,34174.68,4,
2026-07-17,OT15,1034.53,9,19.2
2026-07-17,PRODUCTIVITYBON,227.58,15,16.1
2026-07-17,RDOACCRUAL,2313.15,13,
2026-07-17,SATPEN,1563.96,8,
2026-07-17,SICKLV,758.69,9,
2026-07-17,SUPERVISORALLOW,174.17,14,
2026-07-17,TOOLALLOWFLAT,32.00,11,
2026-07-17,TRAVELALLOW,55.00,4,
