pay_date,code,total_amount,employees_paid,overtime_hours
2026-07-03,ORDHRS,34030.64,11,
2026-07-03,RDOACCRUAL,2933.84,12,
2026-07-03,HEIGHTSALLOW,74.05,7,
2026-07-03,CONFINEDALLOW,146.98,2,
2026-07-03,TOOLALLOWFLAT,32.00,5,
2026-07-17,ORDHRS,34174.68,4,
2026-07-17,RDOACCRUAL,2313.15,13,
2026-07-17,HEIGHTSALLOW,102.19,7,
2026-07-17,CONFINEDALLOW,115.37,10,
2026-07-17,TOOLALLOWFLAT,32.00,11,
2026-07-31,ORDHRS,35400.71,14,
2026-07-31,RDOACCRUAL,2695.17,6,
2026-07-31,HEIGHTSALLOW,89.04,13,
2026-07-31,CONFINEDALLOW,135.64,3,
2026-07-31,TOOLALLOWFLAT,32.00,13,
2026-07-31,LSLPORTABLE,2988.11,14,
2026-09-11,ORDHRS,40442.93,10,
2026-09-11,RDOACCRUAL,2457.63,12,
2026-09-11,TOOLALLOWFLAT,32.00,15,
2026-09-11,LSLINHOUSE,3888.39,5,
