pay_date,code,total_amount,employees_paid,overtime_hours
2026-06-19,ALLOADING,216.10,2,
2026-06-19,ANNLV,1251.26,4,
2026-06-19,CASLOAD,1948.05,8,
2026-06-19,COMMWEEKEND,352.01,8,
2026-06-19,DIRFEE,1100.00,7,
2026-06-19,EVEPEN,481.75,9,
2026-06-19,FDVLEAVE,505.67,6,
2026-06-19,FIRSTAID,25.00,4,
2026-06-19,KEYALLOW,31.28,7,
2026-06-19,LAUNDRYALLOW,12.02,7,
2026-06-19,ONCALLWEEKEND,95.00,3,
2026-06-19,ORDHRS,17844.74,5,
2026-06-19,SATPEN,968.30,5,
2026-06-19,SUNPEN,1358.67,2,
2026-06-19,TOOLALLOW,18.71,10,
2026-07-03,ALLOADING,335.84,2,
2026-07-03,ANNLV,1768.54,8,
2026-07-03,CASLOAD,1820.25,1,
2026-07-03,COMMQ3,1127.68,6,
2026-07-03,COMMWEEKEND,577.35,4,
2026-07-03,DIRFEE,1100.00,4,
2026-07-03,EVEPEN,478.23,7,
2026-07-03,FIRSTAID,25.00,8,
2026-07-03,KEYALLOW,21.17,4,
2026-07-03,LAUNDRYALLOW,15.28,2,
2026-07-03,ONCALLWEEKEND,95.00,2,
2026-07-03,ORDHRS,16837.65,6,
2026-07-03,OT15,344.74,3,7.0
2026-07-03,SATPEN,1070.39,5,
2026-07-03,SICKLV,817.68,8,
2026-07-03,SPECIALLEAVE,223.74,6,
2026-07-03,SUNPEN,1970.24,8,
2026-07-03,TOOLALLOW,29.91,1,
2026-07-17,ALLOADING,273.39,6,
2026-07-17,ANNLV,1566.90,9,
2026-07-17,CASLOAD,2525.95,6,
2026-07-17,COMMQ3,597.81,10,
2026-07-17,COMMWEEKEND,266.43,4,
2026-07-17,DIRFEE,1100.00,9,
2026-07-17,EVEPEN,429.82,2,
2026-07-17,FIRSTAID,25.00,2,
2026-07-17,KEYALLOW,21.86,5,
2026-07-17,LAUNDRYALLOW,11.24,1,
2026-07-17,LSLINHOUSE,2466.78,5,
2026-07-17,MEALALLOWOT,17.45,8,9.1
2026-07-17,ONCALLWEEKEND,95.00,2,
2026-07-17,ORDHRS,14747.47,1,
2026-07-17,OT15,325.78,7,16.2
2026-07-17,OT20,129.54,4,3.5
2026-07-17,SATPEN,969.85,10,
2026-07-17,SICKLV,776.20,10,
2026-07-17,SUNPEN,1367.79,5,
2026-07-17,SUPERVISORALLOW,86.34,6,
2026-07-17,TOILCASHOUT,209.68,2,
2026-07-17,TOOLALLOW,19.33,6,
2026-07-17,WCOMPNOTWORK,1193.19,10,
2026-07-31,ALLOADING,271.77,6,
2026-07-31,ALLOADOT,60.00,10,
2026-07-31,ANNLV,1180.72,7,
2026-07-31,CASLOAD,1944.43,10,
2026-07-31,COMMQ3,676.66,9,
2026-07-31,COMMWEEKEND,371.57,6,
2026-07-31,DIRFEE,1100.00,8,
2026-07-31,EVEPEN,578.00,9,
2026-07-31,FIRSTAID,25.00,6,
2026-07-31,KEYALLOW,26.67,2,
2026-07-31,LAUNDRYALLOW,15.95,9,
2026-07-31,ONCALLAH,40.36,9,
2026-07-31,ONCALLWEEKEND,95.00,8,
2026-07-31,ORDHRS,14145.60,3,
2026-07-31,OT15,376.73,10,5.3
2026-07-31,OT20,129.84,3,8.3
2026-07-31,PPLGOVT,1984.97,4,
2026-07-31,REDUNDANCY,5906.54,10,
2026-07-31,SATPEN,1400.05,7,
2026-07-31,SICKLV,659.17,8,
2026-07-31,SUNPEN,2023.98,3,
2026-07-31,SUPERVISORALLOW,50.88,7,
2026-07-31,TOOLALLOW,24.97,3,
2026-08-14,ALLOADING,245.91,8,
2026-08-14,ANNLV,1119.90,2,
2026-08-14,CASLOAD,2370.84,10,
2026-08-14,COMMWEEKEND,358.23,7,
2026-08-14,DIRFEE,1100.00,8,
2026-08-14,EVEPEN,717.31,5,
2026-08-14,FIRSTAID,25.00,3,
2026-08-14,HDALLOW,127.34,8,
2026-08-14,KEYALLOW,32.71,4,
2026-08-14,LAUNDRYALLOW,12.95,9,
2026-08-14,ONCALLWEEKEND,95.00,5,
2026-08-14,ORDHRS,17321.52,2,
2026-08-14,OT15,413.33,2,17.3
2026-08-14,PHPEN,884.47,2,
2026-08-14,PPLGOVT,1885.80,2,
2026-08-14,RDOCASHOUT,224.74,8,
2026-08-14,RDOTERM,367.39,5,
2026-08-14,SATPEN,940.90,2,
2026-08-14,SICKLV,769.25,4,
2026-08-14,STUDYLEAVE,186.95,3,
2026-08-14,SUNPEN,2090.41,8,
2026-08-14,SUPERVISORALLOW,68.81,3,
2026-08-14,UNIFORMALLOW,120.00,1,
2026-08-14,XMASBONUS,375.93,10,
2026-08-28,ALLOADING,234.24,4,
2026-08-28,ALTERM,1541.17,7,
2026-08-28,ANNLV,1953.52,8,
2026-08-28,CASLOAD,1996.02,8,
2026-08-28,COMMWEEKEND,252.99,6,
2026-08-28,DIRFEE,1100.00,1,
2026-08-28,EVEPEN,395.74,2,
2026-08-28,FIRSTAID,25.00,8,
2026-08-28,KEYALLOW,31.80,5,
2026-08-28,LAUNDRYALLOW,12.93,7,
2026-08-28,LSLTERM,2677.09,1,
2026-08-28,ONCALLWEEKEND,95.00,2,
2026-08-28,ORDHRS,16490.57,9,
2026-08-28,RDOCASHOUT,292.24,7,
2026-08-28,REFERRALBONUS,190.89,10,
2026-08-28,SATPEN,1082.23,3,
2026-08-28,SICKLV,591.38,9,
2026-08-28,STOCKTAKEBON,157.43,3,
2026-08-28,SUNPEN,1696.37,4,
2026-08-28,SUPERVISORALLOW,84.66,2,
2026-08-28,UNIFORMALLOW,120.00,5,
2026-09-11,ALCASHOUT,502.46,4,
2026-09-11,ANNLV,881.66,5,
2026-09-11,CASLOAD,2391.90,6,
2026-09-11,DIRFEE,1100.00,5,
2026-09-11,EVEPEN,383.28,6,
2026-09-11,FIRSTAID,25.00,1,
2026-09-11,KEYALLOW,29.89,6,
2026-09-11,LAUNDRYALLOW,13.60,2,
2026-09-11,ONCALLWEEKEND,95.00,9,
2026-09-11,ORDHRS,16405.22,2,
2026-09-11,SATPEN,939.65,1,
2026-09-11,SICKLV,900.20,9,
2026-09-11,SUNPEN,1745.44,6,
2026-09-11,SUPERVISORALLOW,76.09,4,
