pay_date,code,total_amount,employees_paid,overtime_hours
2026-06-19,ORDHRS,17844.74,5,
2026-06-19,CASLOAD,1948.05,8,
2026-06-19,FIRSTAID,25.00,4,
2026-06-19,TOOLALLOW,18.71,10,
2026-06-19,ONCALLWEEKEND,95.00,3,
2026-06-19,COMMWEEKEND,352.01,8,
2026-07-17,COMMQ3,597.81,10,
2026-07-31,ORDHRS,14145.60,3,
2026-07-31,CASLOAD,1944.43,10,
2026-07-31,FIRSTAID,25.00,6,
2026-07-31,TOOLALLOW,24.97,3,
2026-07-31,ONCALLWEEKEND,95.00,8,
2026-07-31,ALLOADOT,60.00,10,
2026-07-31,COMMQ3,676.66,9,
2026-07-31,COMMWEEKEND,371.57,6,
